category,product_count,min_price,avg_price,max_price,avg_revenue,avg_sales,total_revenue
wall_art,3,99.0,206.76666666666668,354.97,80038.0,155.0,240114.0
cnc_laser_products,3,57.5,107.08666666666666,134.58,69225.66666666667,647.6666666666666,207677.0
office_organization,3,57.49,145.49333333333334,299.0,35868.666666666664,594.6666666666666,107606.0
wall_decor,3,130.0,156.6,200.0,35542.333333333336,250.33333333333334,106627.0
CNC & Laser Cut Products,7,39.0,83.88000000000001,134.58,30742.285714285714,298.2857142857143,215196.0
resin_wood_combinations,6,96.32,798.1483333333334,2750.0,28634.0,120.66666666666667,171804.0
kitchen_products,3,57.42,65.78666666666668,79.99,25969.333333333332,259.3333333333333,77908.0
Kitchen Products,3,57.42,65.78666666666668,79.99,25969.333333333332,259.3333333333333,77908.0
home_decor,3,56.95,112.84333333333332,159.97,22619.0,224.0,67857.0
Home Decor,3,56.95,112.84333333333332,159.97,22619.0,224.0,67857.0
kitchen_dining,3,60.31,140.67666666666665,181.82,16882.0,107.33333333333333,50646.0
Resin + Wood Hybrid Products,12,3.78,429.43249999999995,2750.0,14875.583333333334,87.0,178507.0
branch,9,48.0,648.5544444444445,4088.0,12407.666666666666,39.0,111669.0
gaming_accessories,3,61.99,85.30666666666667,99.9,9853.666666666666,124.66666666666667,29561.0
Gaming Accessories,3,61.99,85.30666666666667,99.9,9853.666666666666,124.66666666666667,29561.0
storage_organization,4,239.0,615.7475,1399.0,8593.0,22.75,34372.0
3d_printing,3,8.75,33.836666666666666,62.77,7392.333333333333,320.6666666666667,22177.0
3D Printed Products,8,8.08,47.01125,120.0,3969.0,150.375,31752.0
Tech Accessories,3,63.0,126.98333333333333,197.95,2602.0,29.666666666666668,7806.0
