search_term,competition,competition_level
gaming desk hutch,3,Low Competition
gaming microphone stand,24,Low Competition
cnc gaming desk,29,Low Competition
gaming stream deck stand,31,Low Competition
gaming speaker stand,50,Low Competition
gaming desk with shelf,60,Low Competition
gaming desk with storage,70,Low Competition
gaming monitor riser,74,Low Competition
gaming desk riser,78,Low Competition
gaming desk shelf organizer,132,Low Competition
gaming monitor stand,159,Low Competition
gaming desk drawer,166,Low Competition
gaming laptop stand,167,Low Competition
gaming cable management,189,Low Competition
gaming keyboard stand,190,Low Competition
gaming desk tray,434,Low Competition
gaming desk shelf,1472,Medium Competition
gaming PC stand,1626,Medium Competition
gaming console stand,2328,Medium Competition
gaming wall mount,2338,Medium Competition
wood gaming desk,2578,Medium Competition
gaming controller holder,5627,High Competition
gaming headphone stand,6950,High Competition
gaming desk organizer,8607,High Competition
personalized gaming desk,17983,High Competition
gaming storage,23643,High Competition
custom gaming desk,42812,High Competition
gaming desk accessories,67077,High Competition
gaming mouse pad,123067,High Competition
gaming desk mat,133421,High Competition
