id,search_term,total_listings,competition_level,opportunity_rating,notes,created_at
1,cnc shower caddy,1,Low,,,2026-01-02 14:38:16
2,cnc towel rack,34,Low,,,2026-01-02 14:38:16
3,cnc bookend,96,Low,,,2026-01-02 14:38:16
4,cnc pegboard,101,Medium-Low,,,2026-01-02 14:38:16
5,cnc garden planter,103,Medium-Low,,,2026-01-02 14:38:16
6,wood shower caddy,115,Medium-Low,,,2026-01-02 14:38:16
7,personalized workshop organizer,128,Medium-Low,,,2026-01-02 14:38:16
8,personalized pegboard,131,Medium-Low,,,2026-01-02 14:38:16
9,cnc floating shelf,131,Medium-Low,,,2026-01-02 14:38:16
10,cnc plant stand,151,Medium-Low,,,2026-01-02 14:38:16
11,cnc workshop organizer,199,Medium-Low,,,2026-01-02 14:38:16
12,cnc wine rack,225,Medium-Low,,,2026-01-02 14:38:16
13,cnc tech,253,Medium-Low,,,2026-01-02 14:38:16
14,personalized plant stand,286,Medium-Low,,,2026-01-02 14:38:16
15,wood workshop organizer,304,Medium-Low,,,2026-01-02 14:38:16
16,custom workshop organizer,311,Medium-Low,,,2026-01-02 14:38:16
17,cnc tool holder,392,Medium-Low,,,2026-01-02 14:38:16
18,custom shower caddy,441,Medium-Low,,,2026-01-02 14:38:16
19,custom pegboard,448,Medium-Low,,,2026-01-02 14:38:16
20,gaming desk hutch,3,Low Competition,,,2026-01-02 14:38:16
21,gaming microphone stand,24,Low Competition,,,2026-01-02 14:38:16
22,cnc gaming desk,29,Low Competition,,,2026-01-02 14:38:16
23,gaming stream deck stand,31,Low Competition,,,2026-01-02 14:38:16
24,gaming speaker stand,50,Low Competition,,,2026-01-02 14:38:16
25,gaming desk with shelf,60,Low Competition,,,2026-01-02 14:38:16
26,gaming desk with storage,70,Low Competition,,,2026-01-02 14:38:16
27,gaming monitor riser,74,Low Competition,,,2026-01-02 14:38:16
28,gaming desk riser,78,Low Competition,,,2026-01-02 14:38:16
29,gaming desk shelf organizer,132,Low Competition,,,2026-01-02 14:38:16
30,gaming monitor stand,159,Low Competition,,,2026-01-02 14:38:16
31,gaming desk drawer,166,Low Competition,,,2026-01-02 14:38:16
32,gaming laptop stand,167,Low Competition,,,2026-01-02 14:38:16
33,gaming cable management,189,Low Competition,,,2026-01-02 14:38:16
34,gaming keyboard stand,190,Low Competition,,,2026-01-02 14:38:16
35,gaming desk tray,434,Low Competition,,,2026-01-02 14:38:16
36,gaming desk shelf,1472,Medium Competition,,,2026-01-02 14:38:16
37,gaming PC stand,1626,Medium Competition,,,2026-01-02 14:38:16
38,gaming console stand,2328,Medium Competition,,,2026-01-02 14:38:16
39,gaming wall mount,2338,Medium Competition,,,2026-01-02 14:38:16
40,wood gaming desk,2578,Medium Competition,,,2026-01-02 14:38:16
41,gaming controller holder,5627,High Competition,,,2026-01-02 14:38:16
42,gaming headphone stand,6950,High Competition,,,2026-01-02 14:38:16
43,gaming desk organizer,8607,High Competition,,,2026-01-02 14:38:16
44,personalized gaming desk,17983,High Competition,,,2026-01-02 14:38:16
45,gaming storage,23643,High Competition,,,2026-01-02 14:38:16
46,custom gaming desk,42812,High Competition,,,2026-01-02 14:38:16
47,gaming desk accessories,67077,High Competition,,,2026-01-02 14:38:16
48,gaming mouse pad,123067,High Competition,,,2026-01-02 14:38:16
49,gaming desk mat,133421,High Competition,,,2026-01-02 14:38:16
