search_term,competition,products_tracked,avg_revenue,max_revenue,avg_price
cnc shower caddy,1,0,,,
gaming desk hutch,3,0,,,
gaming microphone stand,24,0,,,
cnc gaming desk,29,0,,,
gaming stream deck stand,31,0,,,
cnc towel rack,34,0,,,
gaming keyboard stand wood,49,4,5988.0,5988.0,499.0
gaming speaker stand,50,0,,,
gaming desk with shelf,60,0,,,
gaming desk with storage,70,0,,,
gaming monitor riser,74,0,,,
gaming desk riser,78,0,,,
cnc bookend,96,0,,,
cnc pegboard,101,0,,,
cnc garden planter,103,0,,,
wood shower caddy,115,0,,,
personalized workshop organizer,128,0,,,
personalized pegboard,131,0,,,
cnc floating shelf,131,0,,,
gaming desk shelf organizer,132,0,,,
wedding wishing well wood,137,0,,,
MagSafe charging stand wood,144,9,1123.6666666666667,1235.0,93.63
cnc plant stand,151,0,,,
gaming monitor stand,159,0,,,
gaming desk drawer,166,0,,,
gaming laptop stand,167,0,,,
pegboard organizer wood,177,6,750.0,960.0,350.0
spice drawer organizer wood,178,6,1764.5,1999.0,56.78
gaming cable management,189,0,,,
gaming keyboard stand,190,0,,,
wireless charging pad wood,199,6,484.0,493.0,74.87
cnc workshop organizer,199,0,,,
cnc wine rack,225,0,,,
soap dispenser wood bathroom,228,6,314.0,463.0,55.01500000000001
cnc tech,253,0,,,
personalized plant stand,286,0,,,
wood workshop organizer,304,0,,,
wedding unity candle box,306,0,,,
custom workshop organizer,311,0,,,
wedding time capsule box,312,0,,,
gaming mouse pad wood,317,3,136.0,136.0,34.0
birdhouse custom wood,344,9,1080.3333333333333,1246.0,40.43
wedding card tree wood,385,0,,,
cnc tool holder,392,0,,,
gaming desk tray,434,0,,,
custom shower caddy,441,0,,,
custom pegboard,448,0,,,
