id,product_name,shop_name,price,monthly_sales,monthly_revenue,growth_rate,total_sales,reviews,listing_age_months,category,subcategory,search_term,competition,manufacturing_method,complexity,estimated_cogs,estimated_margin,opportunity_score,market_score,feasibility_score,profitability_score
25,"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,2922,574,11,CNC & Laser Cut Products,custom_engraved,custom engraved wood,101516,,,,,,,,
56,"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,2922,574,11,cnc_laser_products,custom_engraved,custom engraved wood,101516,,,,,,,,
88,"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,2922,574,11,,,cnc_laser_products custom_engraved,101516,CNC/Laser,Medium,,,68.2,49.0,82.0,80.0
165,"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,2922,574,11,,,cnc_laser_products custom_engraved,101516,CNC/Laser,Medium,,,68.2,49.0,82.0,80.0
242,"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,2922,574,11,,,cnc_laser_products custom_engraved,101516,CNC/Laser,Medium,,,68.2,49.0,82.0,80.0
42,Wooden World Map,EnjoyTheWood,166.33,164,115207.0,160,5482,816,67,wall_art,,Custom 3D Topographic/Lake Maps,,,,,,,,,
53,Personalized Wood Desk Organizer,WoodGothicCraft,57.49,1674,96238.0,181,8959,1269,14,office_organization,,Wood Desk Organizers & Docking Stations,,,,,,,,,
40,Custom Lake Depth Map,MapCuts,99.0,238,82281.0,500,3866,1020,40,wall_art,,Custom 3D Topographic/Lake Maps,,,,,,,,,
15,"Custom Epoxy Table, Rustic Dining Table",WoodDora,2750.0,19,52250.0,0,19,3,2,Resin + Wood Hybrid Products,epoxy_tables,epoxy resin table,61638,,,,,,,,
57,"Custom Epoxy Table, Rustic Dining Table",WoodDora,2750.0,19,52250.0,0,19,3,2,resin_wood_combinations,epoxy_tables,epoxy resin table,61638,,,,,,,,
96,"Custom Epoxy Table, Rustic Dining Table",WoodDora,2750.0,19,52250.0,0,19,3,2,,,resin_wood_combinations epoxy_tables,61638,Resin/Epoxy,Medium,,,61.3,46.0,82.0,61.0
173,"Custom Epoxy Table, Rustic Dining Table",WoodDora,2750.0,19,52250.0,0,19,3,2,,,resin_wood_combinations epoxy_tables,61638,Resin/Epoxy,Medium,,,61.3,46.0,82.0,61.0
250,"Custom Epoxy Table, Rustic Dining Table",WoodDora,2750.0,19,52250.0,0,19,3,2,,,resin_wood_combinations epoxy_tables,61638,Resin/Epoxy,Medium,,,61.3,46.0,82.0,61.0
43,Custom Wood Sign | Personalized Family Name Sign,FalkelDesign,130.0,375,48750.0,250,53357,12578,58,wall_decor,,Custom Business/Family Name Signs,,,,,,,,,
58,Handmade live edge bathroom vanity modern wood vanity cabinet,OwlCreationDesign,4088.0,11,44968.0,0,9,1,4,branch,bathroom_organizers,bathroom organizer wood,4457,,,,,,,,
92,Handmade live edge bathroom vanity modern wood vanity cabinet,OwlCreationDesign,4088.0,11,44968.0,0,9,1,4,,,bathroom organizer wood,4457,Wood,Medium,,,61.7,47.0,82.0,61.0
169,Handmade live edge bathroom vanity modern wood vanity cabinet,OwlCreationDesign,4088.0,11,44968.0,0,9,1,4,,,bathroom organizer wood,4457,Wood,Medium,,,61.7,47.0,82.0,61.0
246,Handmade live edge bathroom vanity modern wood vanity cabinet,OwlCreationDesign,4088.0,11,44968.0,0,9,1,4,,,bathroom organizer wood,4457,Wood,Medium,,,61.7,47.0,82.0,61.0
44,Custom business logo sign,LignousLaser,139.8,316,44177.0,8,2290,452,9,wall_decor,,Custom Business/Family Name Signs,,,,,,,,,
41,Wood World Map Large Wall Art,KokoBoloDesign,354.97,63,42626.0,700,606,136,15,wall_art,,Custom 3D Topographic/Lake Maps,,,,,,,,,
34,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",LuminaraLuxe,79.99,398,40236.0,69,2489,417,12,Kitchen Products,cutting_boards,wood cutting board custom,22221,,,,,,,,
59,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",LuminaraLuxe,79.99,398,40236.0,69,2489,417,12,kitchen_products,cutting_boards,wood cutting board custom,22221,,,,,,,,
98,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",LuminaraLuxe,79.99,398,40236.0,69,2489,417,12,,,kitchen_products cutting_boards,22221,Wood,Medium,,,60.8,41.0,82.0,66.0
175,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",LuminaraLuxe,79.99,398,40236.0,69,2489,417,12,,,kitchen_products cutting_boards,22221,Wood,Medium,,,60.8,41.0,82.0,66.0
252,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",LuminaraLuxe,79.99,398,40236.0,69,2489,417,12,,,kitchen_products cutting_boards,22221,Wood,Medium,,,60.8,41.0,82.0,66.0
26,Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,1745,377,11,CNC & Laser Cut Products,custom_engraved,custom engraved wood,101516,,,,,,,,
60,Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,1745,377,11,cnc_laser_products,custom_engraved,custom engraved wood,101516,,,,,,,,
90,Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,1745,377,11,,,cnc_laser_products custom_engraved,101516,CNC/Laser,Medium,,,62.599999999999994,41.0,82.0,72.0
167,Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,1745,377,11,,,cnc_laser_products custom_engraved,101516,CNC/Laser,Medium,,,62.599999999999994,41.0,82.0,72.0
244,Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,1745,377,11,,,cnc_laser_products custom_engraved,101516,CNC/Laser,Medium,,,62.599999999999994,41.0,82.0,72.0
37,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,ModWoodCo,121.61,250,30403.0,13,18124,3935,100,Home Decor,wall_art,wood wall art custom,47962,,,,,,,,
61,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,ModWoodCo,121.61,250,30403.0,13,18124,3935,100,home_decor,wall_art,wood wall art custom,47962,,,,,,,,
91,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,ModWoodCo,121.61,250,30403.0,13,18124,3935,100,,,home_decor wall_art,47962,Wood,Medium,,,62.0,38.0,82.0,74.0
168,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,ModWoodCo,121.61,250,30403.0,13,18124,3935,100,,,home_decor wall_art,47962,Wood,Medium,,,62.0,38.0,82.0,74.0
245,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,ModWoodCo,121.61,250,30403.0,13,18124,3935,100,,,home_decor wall_art,47962,Wood,Medium,,,62.0,38.0,82.0,74.0
52,Personalized Live Edge Charcuterie Board,RootsToTable,60.31,215,29236.0,150,1446,260,11,kitchen_dining,,Live Edge Charcuterie Boards & Serving Trays,,,,,,,,,
18,ANIME Night Lamp Epoxy lamp handmade from wood and resin,Hirosart,137.25,199,27313.0,67,984,201,21,Resin + Wood Hybrid Products,resin_lamps,resin lamp night light,81307,,,,,,,,
62,ANIME Night Lamp Epoxy lamp handmade from wood and resin,Hirosart,137.25,199,27313.0,67,984,201,21,resin_wood_combinations,resin_lamps,resin lamp night light,81307,,,,,,,,
94,ANIME Night Lamp Epoxy lamp handmade from wood and resin,Hirosart,137.25,199,27313.0,67,984,201,21,,,resin_wood_combinations resin_lamps,81307,Resin/Epoxy,Medium,,,61.4,41.0,82.0,68.0
171,ANIME Night Lamp Epoxy lamp handmade from wood and resin,Hirosart,137.25,199,27313.0,67,984,201,21,,,resin_wood_combinations resin_lamps,81307,Resin/Epoxy,Medium,,,61.4,41.0,82.0,68.0
248,ANIME Night Lamp Epoxy lamp handmade from wood and resin,Hirosart,137.25,199,27313.0,67,984,201,21,,,resin_wood_combinations resin_lamps,81307,Resin/Epoxy,Medium,,,61.4,41.0,82.0,68.0
16,"Custom Ocean Epoxy Resin Table, Live Edge Wood Dining Table",PopCardsByHa,1488.0,18,26784.0,0,26,6,5,Resin + Wood Hybrid Products,epoxy_tables,epoxy resin table,61638,,,,,,,,
63,"Custom Ocean Epoxy Resin Table, Live Edge Wood Dining Table",PopCardsByHa,1488.0,18,26784.0,0,26,6,5,resin_wood_combinations,epoxy_tables,epoxy resin table,61638,,,,,,,,
