id,term,category,subcategory,total_listings,competition_level,created_at
1,3D printed phone stand,3D Printed Products,phone_stands,2979,,2026-01-02 14:38:16
2,3D printed desk accessory,3D Printed Products,desk_accessories,9806,,2026-01-02 14:38:16
3,3D printed organizer,3D Printed Products,organizers,1387,,2026-01-02 14:38:16
4,resin wood coaster,Resin + Wood Hybrid Products,coasters,2979,,2026-01-02 14:38:16
5,resin art coaster,Resin + Wood Hybrid Products,resin_art_coasters,10055,,2026-01-02 14:38:16
6,epoxy resin table,Resin + Wood Hybrid Products,epoxy_tables,61638,,2026-01-02 14:38:16
7,resin lamp night light,Resin + Wood Hybrid Products,resin_lamps,81307,,2026-01-02 14:38:16
8,CNC wood sign custom,CNC & Laser Cut Products,cnc_wood_signs,2576,,2026-01-02 14:38:16
9,laser cut wood art,CNC & Laser Cut Products,laser_cut_art,910,,2026-01-02 14:38:16
10,custom engraved wood,CNC & Laser Cut Products,custom_engraved,101516,,2026-01-02 14:38:16
11,gaming controller stand,Gaming Accessories,controller_stands,6540,,2026-01-02 14:38:16
12,cable organizer desk,Tech Accessories,cable_organizers,1387,,2026-01-02 14:38:16
13,wood cutting board custom,Kitchen Products,cutting_boards,22221,,2026-01-02 14:38:16
14,wood wall art custom,Home Decor,wall_art,47962,,2026-01-02 14:38:16
15,Custom 3D Topographic/Lake Maps,wall_art,,,,2026-01-02 14:38:16
16,Custom Business/Family Name Signs,wall_decor,,,,2026-01-02 14:38:16
17,Premium Wood Watch/Jewelry Boxes,storage_organization,,,,2026-01-02 14:38:16
18,Live Edge Charcuterie Boards & Serving Trays,kitchen_dining,,,,2026-01-02 14:38:16
19,Wood Desk Organizers & Docking Stations,office_organization,,,,2026-01-02 14:38:16
20,bathroom organizer wood,branch,bathroom_organizers,4457,,2026-01-02 14:38:16
21,watch box wood display,branch,watch_boxes,1450,,2026-01-02 14:38:16
22,gaming keyboard stand wood,branch,gaming_keyboard_stands,49,,2026-01-02 14:38:16
23,pet memorial urn wood,branch,pet_memorial_urns,2606,,2026-01-02 14:38:16
24,floating shelf wood wall,branch,floating_shelves,2606,,2026-01-02 14:38:16
25,wedding place card holder,wedding,,5038,,2026-01-02 14:38:16
26,wedding table number holder,wedding,,3411,,2026-01-02 14:38:16
27,wedding bar sign wood,wedding,,2293,,2026-01-02 14:38:16
28,wedding menu sign wood,wedding,,716,,2026-01-02 14:38:16
29,wedding ceremony sign wood,wedding,,2486,,2026-01-02 14:38:16
30,wedding ring bearer box,wedding,,11871,,2026-01-02 14:38:16
31,wedding memory box wood,wedding,,3725,,2026-01-02 14:38:16
32,wedding keepsake box wood,wedding,,6608,,2026-01-02 14:38:16
33,wedding money box wood,wedding,,724,,2026-01-02 14:38:16
34,wedding wishing well wood,wedding,,137,,2026-01-02 14:38:16
35,wedding card tree wood,wedding,,385,,2026-01-02 14:38:16
36,wedding unity candle box,wedding,,306,,2026-01-02 14:38:16
37,wedding sand ceremony box,wedding,,661,,2026-01-02 14:38:16
38,wedding time capsule box,wedding,,312,,2026-01-02 14:38:16
39,wedding favor box wood,wedding,,832,,2026-01-02 14:38:16
40,wedding photo frame wood,wedding,,7567,,2026-01-02 14:38:16
41,wedding display stand wood,wedding,,1989,,2026-01-02 14:38:16
42,wedding easel wood,wedding,,953,,2026-01-02 14:38:16
43,gaming_accessories controller_stands,,,6540,,2026-01-02 14:38:16
44,cnc_laser_products custom_engraved,,,101516,,2026-01-02 14:38:16
45,home_decor wall_art,,,47962,,2026-01-02 14:38:16
46,resin_wood_combinations epoxy_tables,,,61638,,2026-01-02 14:38:16
47,resin_wood_combinations resin_lamps,,,81307,,2026-01-02 14:38:16
48,tech_accessories cable_organizers,,,1387,,2026-01-02 14:38:16
49,kitchen_products cutting_boards,,,22221,,2026-01-02 14:38:16
50,valet tray wood personalized,,,656,,2026-01-02 14:38:16
51,MagSafe charging stand wood,,,144,,2026-01-02 14:38:16
