shop,product_count,total_revenue,avg_revenue,total_sales,avg_price,avg_reviews
MontiqueCrafts,5,747950.0,149590.0,5790,129.18,574.0
WoodDora,5,261250.0,52250.0,95,2750.0,3.0
BreakWooden,10,234820.0,23482.0,1480,158.66,157.0
LuminaraLuxe,5,201180.0,40236.0,1990,79.99,417.0
OwlCreationDesign,4,179872.0,44968.0,44,4088.0,1.0
SicilianElegance,5,177390.0,35478.0,3085,57.5,377.0
ModWoodCo,5,152015.0,30403.0,1250,121.60999999999999,3935.0
SHANIKStore,16,151787.0,9486.6875,619,227.113125,45.875
Hirosart,5,136565.0,27313.0,995,137.25,201.0
PopCardsByHa,5,133920.0,26784.0,90,1488.0,6.0
EnjoyTheWood,1,115207.0,115207.0,164,166.33,816.0
ColorfulLifers,5,113045.0,22609.0,840,134.58,341.0
EngraveMyMemories,5,112855.0,22571.0,585,59.95,499.0
WoodGothicCraft,1,96238.0,96238.0,1674,57.49,1269.0
Back40life,5,95865.0,19173.0,505,159.97,222.0
MrChuahStore,5,92465.0,18493.0,960,96.32,379.0
austero,5,91405.0,18281.0,1605,56.95,8323.0
MapCuts,1,82281.0,82281.0,238,99.0,1020.0
UrbanEngravings,5,75505.0,15101.0,1315,57.42,414.0
LampByGift,5,70360.0,14072.0,1135,61.989999999999995,277.0
FalkelDesign,1,48750.0,48750.0,375,130.0,12578.0
GunView,5,47385.0,9477.0,1580,29.99,307.0
ProMirror,4,44364.0,11091.0,72,209.0,65.0
LignousLaser,1,44177.0,44177.0,316,139.8,452.0
KokoBoloDesign,1,42626.0,42626.0,63,354.97,136.0
holmeandhadfield,5,41550.0,8310.0,170,279.0,26.4
ExtrudeCoLab,5,40835.0,8167.0,640,62.77,44.0
3dhobbyhub,5,38985.0,7797.0,350,94.03,48.0
SerdarWood,5,38460.0,7692.0,385,99.9,42.0
WoodDecorPW,4,30780.0,7695.0,228,135.0,287.0
Sawitreartstudio,8,30240.0,3780.0,480,63.0,33.0
RootsToTable,1,29236.0,29236.0,215,60.31,260.0
ZombieWoodworks,4,23952.0,5988.0,48,499.0,35.0
CarterPrintingCo,5,22665.0,4533.0,2590,8.75,1671.0
VerdentEssence,8,21120.0,2640.0,176,120.0,9.0
TwistedBranchDesigns,4,19992.0,4998.0,168,119.0,65.0
ShabtownSigns,8,19344.0,2418.0,496,39.0,830.0
CraftsmanSmith,4,17856.0,4464.0,372,48.0,440.0
SDPrecisionWorks,1,13700.0,13700.0,60,200.0,92.0
HomeDesignWell,3,11562.0,3854.0,18,642.38,1.0
BattleBornWoodShopLV,3,9960.0,3320.0,228,30.0,270.0
ArtisRaw,3,9822.0,3274.0,84,108.55,177.0
KeelanScott,3,9600.0,3200.0,48,199.99,234.0
ArtificiaDecor,3,8967.0,2989.0,195,45.99,61.0
NikkisStuffNThings,4,8800.0,2200.0,88,100.0,240.0
TreeTopUrns,3,8259.0,2753.0,414,19.95,1143.0
woodceylondotcom,3,7884.0,2628.0,18,438.08,3.0
FarmhouseTimbers,4,7652.0,1913.0,56,77.9,66.0
Autmure,1,7636.0,7636.0,42,181.82,154.0
imageworksva,3,5997.0,1999.0,210,28.56,666.0
PastosCo,3,5973.0,1991.0,15,398.25,2.0
KaiyaGifts,3,5712.0,1904.0,306,18.67,43.0
FeatureSquad,4,5544.0,1386.0,28,197.95,47.0
DesignsByManon,3,5406.0,1802.0,318,17.0,167.0
WeLoveProps3D,4,4840.0,1210.0,88,55.0,8.0
RistInnovations,4,4676.0,1169.0,164,28.5,36.0
olivebirchdesign,3,4590.0,1530.0,54,85.0,39.0
ErsennStore,4,4524.0,1131.0,52,87.0,3.0
Objecttt,1,4197.0,4197.0,3,1399.0,4.0
JeffsCleverGifts,4,3840.0,960.0,96,39.99,8.0
PromiDesign,3,3738.0,1246.0,60,62.29,21.0
StemBear,3,3705.0,1235.0,36,102.89,101.0
MoorWoodShop,4,3676.0,919.0,32,114.83,11.0
ModhausCo,3,3471.0,1157.0,39,89.0,49.0
AvisFloralsAndGifts,4,3280.0,820.0,868,3.78,3457.0
LewyoxDesigns,4,3104.0,776.0,384,8.08,39.0
EagleWoodFlagCo,4,3080.0,770.0,28,110.0,386.0
TheBirdhouseOfOrange,3,3060.0,1020.0,90,34.0,235.0
MomsTree,3,3021.0,1007.0,63,47.95000000000001,261.0
LohaCustomOfficial,3,2937.0,979.0,33,89.0,8.0
TheRibbonCottage,3,2925.0,975.0,117,25.0,241.0
GoodLuckWoodworksOH,3,2880.0,960.0,18,160.0,4.0
DreamscapeResin,4,2692.0,673.0,144,18.7,61.0
WOODSCRAPPERSART,3,2682.0,894.0,18,149.0,17.0
PlansDIYs,3,2250.0,750.0,45,49.99,114.0
OAKNSMITH,3,1620.0,540.0,3,540.0,1.0
Pedpac,3,1479.0,493.0,27,54.74,7.0
SkinWoodWorkShop,3,1425.0,475.0,15,95.0,4.0
VestaLaneGB,3,1389.0,463.0,18,77.12,1.0
sanwacraft,3,495.0,165.0,15,32.91,2.0
TailoredTrovebyTADA,3,408.0,136.0,12,34.0,8.0
