product_name,shop,price,monthly_sales,monthly_revenue,growth_rate,search_term,competition,opportunity_score,market_score,feasibility_score,competition_level
Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,gaming keyboard stand wood,49,68.5,64.0,82.0,Very Low
Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,gaming keyboard stand wood,49,68.5,64.0,82.0,Very Low
Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,gaming keyboard stand wood,49,68.5,64.0,82.0,Very Low
Personalized Gaming Controller and Headphone Stand,LampByGift,61.99,227,14072.0,500,gaming_accessories controller_stands,6540,68.39999999999999,60.0,82.0,High
Personalized Gaming Controller and Headphone Stand,LampByGift,61.99,227,14072.0,500,gaming_accessories controller_stands,6540,68.39999999999999,60.0,82.0,High
Personalized Gaming Controller and Headphone Stand,LampByGift,61.99,227,14072.0,500,gaming_accessories controller_stands,6540,68.39999999999999,60.0,82.0,High
"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,cnc_laser_products custom_engraved,101516,68.2,49.0,82.0,High
"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,cnc_laser_products custom_engraved,101516,68.2,49.0,82.0,High
"Personalized Serving Board for Couple, Marble Wood Cheese Board",MontiqueCrafts,129.18,1158,149590.0,92,cnc_laser_products custom_engraved,101516,68.2,49.0,82.0,High
Personalized 8 Slot Wooden Watch Box Acrylic Lid Detachable Stands,SHANIKStore,349.99,43,16920.0,200,watch box wood display,1450,67.8,60.0,82.0,Medium
Personalized 8 Slot Wooden Watch Box Acrylic Lid Detachable Stands,SHANIKStore,349.99,43,16920.0,200,watch box wood display,1450,67.8,60.0,82.0,Medium
Personalized 8 Slot Wooden Watch Box Acrylic Lid Detachable Stands,SHANIKStore,349.99,43,16920.0,200,watch box wood display,1450,67.8,60.0,82.0,Medium
Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,cnc_laser_products custom_engraved,101516,62.599999999999994,41.0,82.0,High
Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,cnc_laser_products custom_engraved,101516,62.599999999999994,41.0,82.0,High
Personalized serving board for couple or family gift,SicilianElegance,57.5,617,35478.0,62,cnc_laser_products custom_engraved,101516,62.599999999999994,41.0,82.0,High
Nursery Name Sign | Nursery Decor | Wooden Name Cutout,ModWoodCo,121.61,250,30403.0,13,home_decor wall_art,47962,62.0,38.0,82.0,High
